"ABEV3","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","CCRO3","CMIG4","CIEL3","CPLE6","CSAN3","CPFE3","CYRE3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","EGIE3","EQTL3","GGBR4","GOAU4","HYPE3","ITSA4","ITUB4","JBSS3","KLBN11","RENT3","LREN3","MRFG3","MRVE3","MULT3","PETR3","PETR4","QUAL3","RADL3","RAIL3","SBSP3","SANB11","CSNA3","TAEE11","UGPA3","USIM5","VALE3","WEGE3","I"
15.244103,14.918816,7.651438,7.792535,7.012599,2.078855,9.284346,15.69335,52.954121,10.110552,2.386624,15.820535,1.272755,4.869197,10.849965,5.769288,3.612404,4.799854,7.05661,28.502846,8.069499,17.393942,6.41547,3.219066,0.989226,19.501377,3.571401,11.505904,8.895041,16.853746,5.956341,12.881071,4.821262,6.202826,12.714517,3.365548,2.246229,9.043751,8.641783,2.15764,18.861279,9.706958,3.599872,9.057668,27.051067,0.74779,7.875955,4.815424,41543
15.468766,15.559691,7.865166,8.225459,7.379454,2.322829,9.712521,15.96595,54.718929,10.253515,2.478264,15.980086,1.356489,5.041648,11.297931,5.833155,3.794324,5.038653,7.281971,29.25037,8.174555,17.766924,6.471015,3.250549,1.010576,19.469395,3.692278,11.970505,9.478979,16.949377,6.454325,13.2491,5.096538,6.399841,13.205129,3.908889,2.538338,8.967227,8.679644,2.197596,19.625235,10.125963,3.980852,8.998853,27.673546,0.773282,8.748101,5.021801,43235
15.194175,15.424125,7.822419,8.164127,7.308903,2.150014,9.648295,15.55085,54.718929,9.983478,2.402561,15.626076,1.282245,5.096428,10.942195,5.698325,3.707696,4.783936,7.077738,28.648472,8.108894,17.630833,6.441506,3.061655,0.960759,19.493374,3.686785,11.799832,8.919037,17.044996,6.203941,12.881071,4.805532,6.266378,13.240593,3.734808,2.477902,8.974183,8.57174,2.15764,19.48942,9.909478,4.058603,9.111583,27.540157,0.790278,8.242124,4.973647,42521
15.127606,14.919024,7.749142,8.167732,7.294798,2.114434,9.327164,15.662372,54.166813,9.95965,2.275062,15.431627,1.283919,5.260762,10.889491,5.677035,3.707696,4.545136,6.894632,28.658176,8.076065,17.524984,6.469279,2.967207,0.918058,19.4534,3.659313,11.700274,9.582966,16.718285,6.242891,12.822186,4.797667,6.476105,13.089864,3.708434,2.45272,8.967227,8.556598,2.207585,18.41988,9.846627,4.066378,8.856715,27.709118,0.773282,7.796063,4.52085,42085
14.736516,15.04654,7.785782,8.178558,7.273633,1.956868,9.362842,15.680958,53.397789,9.951706,2.390608,15.331903,1.295084,5.281052,11.212289,5.662843,3.785661,4.592896,6.936888,29.318329,8.40436,17.635878,6.590784,2.825537,0.818424,19.749233,3.686785,11.709756,9.270998,16.65453,6.479364,13.065084,4.899912,6.520592,13.25537,3.682058,2.462793,8.807221,8.395686,2.227563,18.801857,9.937412,4.058603,9.008657,27.551937,0.78178,7.336689,4.565819,41888
14.66995,15.04654,7.840739,8.110006,7.294798,1.992448,9.41993,15.451723,49.296337,9.78492,2.275062,15.197277,1.241494,5.28308,10.731387,5.78348,3.846301,4.441656,6.824206,28.842628,8.286174,17.530024,6.606407,2.746832,0.818424,19.805206,3.653819,11.709756,8.943035,16.837812,6.320787,12.77802,4.695422,6.546014,13.447479,3.634581,2.45272,8.848964,8.480877,2.337443,18.903719,9.881543,3.887551,9.126291,27.529572,0.756287,7.323372,4.444754,41593
14.678269,15.378077,8.219344,8.395015,7.527605,2.048359,9.662567,15.798673,50.676632,10.031132,2.338811,15.461543,1.291176,5.427127,11.001483,5.818962,3.915603,4.521256,6.880546,29.318329,8.3584,17.79212,6.646329,2.778314,0.861125,20.149021,3.747225,12.041609,9.119016,17.132654,6.395903,13.2491,4.915643,6.736674,13.893757,3.877238,2.588703,8.960271,8.709934,2.627126,19.192326,10.440216,4.043053,9.243919,28.111027,0.764785,7.86264,4.562357,42794
15.185852,16.21966,8.213236,8.604259,7.739256,2.205925,10.219198,15.798673,52.165382,10.277344,2.446389,16.054876,1.325786,5.559,11.297931,5.953791,4.062872,4.537176,6.972099,28.832922,8.371531,18.1399,6.595992,2.833408,0.889592,20.604774,3.909666,12.608474,9.318995,17.419529,6.643504,13.631851,4.947103,6.825649,14.136106,3.993292,2.674321,9.120275,8.804585,2.896831,19.446978,10.922073,4.198555,9.337045,28.625391,0.773282,8.528401,4.583111,44122
15.09432,16.570324,8.347579,8.845157,7.908361,2.358408,10.540337,15.767691,51.790726,10.356765,2.434436,16.493639,1.321321,5.605665,11.034422,5.733807,4.175489,4.688415,7.042525,28.250439,8.476584,17.897964,6.604671,2.951467,0.889592,21.196451,3.97024,12.902575,9.518971,17.005156,6.868848,14.073487,5.017888,6.615922,14.254326,4.272874,2.845559,9.175928,8.891668,2.986733,19.268721,11.369015,4.392932,8.871417,28.956373,0.798775,9.467126,4.72147,44893
15.343953,17.150507,8.726181,9.42641,8.614467,2.571885,11.926551,15.67476,51.978058,11.397208,2.793027,17.241533,1.41287,5.709135,11.423096,6.038947,4.496014,5.205812,7.450991,24.299263,8.673563,18.240704,6.809494,3.179713,1.02481,20.900612,4.295127,14.178602,10.054914,16.335789,7.027423,14.345832,5.041483,6.711253,14.880891,4.805665,3.308906,9.328977,8.797015,2.876853,19.710117,12.325744,5.053816,8.969446,29.224733,1.079196,10.39919,4.686881,47193
